table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Walla Walla, WA Metro Area",62584,62574,62682
".Warner Robins, GA Metro Area",191614,192277,195246
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6385162,6385714,6356434
"..Frederick-Gaithersburg-Rockville, MD Metro Division",1333778,1333980,1334662
"..Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division",5051384,5051734,5021772
".Waterloo-Cedar Falls, IA Metro Area",168461,168266,167796
".Watertown-Fort Drum, NY Metro Area",116721,116134,116295
".Wausau-Weston, WI Metro Area",166428,166328,166189
".Weirton-Steubenville, WV-OH Metro Area",116903,116595,115585
".Wenatchee, WA Metro Area",122012,122183,123342
".Wheeling, WV-OH Metro Area",139513,138943,137740
".Wichita, KS Metro Area",647610,647921,647919
".Wichita Falls, TX Metro Area",148128,148348,149013
".Williamsport, PA Metro Area",114188,113980,113605
".Wilmington, NC Metro Area",285905,286623,291833
".Winchester, VA-WV Metro Area",142632,142841,145155
".Winston-Salem, NC Metro Area",675966,676369,681438
".Worcester, MA-CT Metro Area",978529,977701,978447
".Yakima, WA Metro Area",256728,256533,256035
".York-Hanover, PA Metro Area",456438,456389,458696
".Youngstown-Warren-Boardman, OH-PA Metro Area",541243,539686,538069
".Yuba City, CA Metro Area",181208,181412,182484
".Yuma, AZ Metro Area",203881,204437,206990
,,,
Puerto Rico,3285874,3281538,3263584
.In Metropolitan Statistical Area,3175561,3171227,3153305
"..Aguadilla-Isabela, PR Metro Area",310160,309773,307788
"..Arecibo, PR Metro Area",182705,182574,182014
"..Guayama, PR Metro Area",68442,68367,68178
"..Mayagüez, PR Metro Area",97605,97335,96270
"..Ponce, PR Metro Area",224142,223553,221222
"..San Germán, PR Metro Area",125100,124989,124644
"..San Juan-Bayamón-Caguas, PR Metro Area",2081265,2078738,2068451
"..Yauco, PR Metro Area",86142,85898,84738
"Note: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and (for the U.S. only) 2020 Demographic Analysis estimates.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  The Office of Management and Budget's statistical area delineations for metropolitan, micropolitan, and combined statistical areas, as well as metropolitan divisions, are those issued by that agency in March 2020.  ",,,
Suggested Citation:,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2020 to July 1, 2021 (CBSA-MET-EST2021-POP)",,,
"Source: U.S. Census Bureau, Population Division",,,
Release Date: March 2022,,,
